id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9748445,condo melo 101,4307081,Nereu A,,Ipanema,-22.98366,-43.19753,Entire home/apt,511,1,0,,,56,365,0,
9749941,Suite simples em casa de familia,50292002,Simone,,São Conrado,-22.99229,-43.25551,Private room,150,2,6,2021-01-01,0.09,1,361,1,
9750464,Lindo apto de 3 quartos perto praia,50293928,Cristiane,,Recreio dos Bandeirantes,-23.03124,-43.47423,Entire home/apt,350,30,0,,,1,362,0,
9751528,O melhor do Rio a seus pés.,45772046,Daniel,,Copacabana,-22.96378,-43.17603,Entire home/apt,407,2,123,2021-12-13,1.69,1,168,10,
9757432,Apartamento lindo em Copacabana.,47059340,Maria Rita,,Copacabana,-22.98504,-43.19213,Entire home/apt,200,3,5,2017-09-17,0.07,1,339,0,
9762703,*Deluxe Queen En-Suite,26748682,Rose Kaneko,,Curicica,-22.95089,-43.384,Private room,485,1,4,2019-01-13,0.06,15,37,0,
9763255,QUARTO em JACAREPAGUA,9103300,Almir,,Pechincha,-22.9314,-43.34873,Private room,314,1,0,,,2,365,0,
9764483,"Excelente Apto reformado Copa, 3 quadras da PRAIA",50351483,Guilherme,,Copacabana,-22.96221,-43.1781,Entire home/apt,528,3,18,2021-01-03,0.25,1,322,1,
9765357,Apartment well located with a view,27496333,Maria Eduarda,,Lagoa,-22.96477,-43.20263,Entire home/apt,2121,2,0,,,1,364,0,
9766633,DuplexPenthouse in Rio w beach view,50360725,Mirela,,São Conrado,-22.99363,-43.2558,Entire home/apt,5286,3,7,2018-08-04,0.10,1,365,0,
9767125,COPACABANA 2 quartos 2 banheiros Garagem Piscina,50358652,Fábio,,Copacabana,-22.96729,-43.18509,Entire home/apt,1016,3,69,2021-12-13,0.96,1,18,13,
9770344,Resting with sea and lagoon view.,50267127,Annelise,,Barra da Tijuca,-23.01056,-43.35569,Entire home/apt,1459,2,0,,,1,362,0,
9772868,Apto Copacabana quase esquina praia,4782339,Sandro,,Copacabana,-22.96913,-43.18652,Entire home/apt,486,2,6,2021-11-30,0.09,2,333,3,
9773598,Apartamento 40m2 quadra da praia!!,50389387,João Carlos,,Copacabana,-22.97308,-43.18584,Entire home/apt,500,4,9,2019-01-02,0.12,1,359,0,
